,Learning Rate,Lambda Value,Epoch,Train Loss,Val mIoU,Test mIoU
18,1e-05,0.2,25,0.2088007777929306,0.8605739365018799,0.8877287820293036
29,1e-05,0.5,21,0.28672656416893005,0.6375671554230495,0.6483355776837125
39,1e-05,0.8,26,0.20628906786441803,0.860161350591195,0.8714055811631107
48,5e-05,0.2,27,0.18846093118190765,0.9312623458377653,0.9204035287947457
58,5e-05,0.5,22,0.27025389671325684,0.620963520110674,0.6367865225425197
69,5e-05,0.8,28,0.18916600942611694,0.9434316866390323,0.9336923172605245
75,8e-05,0.2,13,0.2034023404121399,0.9526049632260898,0.9421792579750286
81,8e-05,0.5,12,0.27452734112739563,0.7228178725458074,0.7442763625538342
87,8e-05,0.8,16,0.19581054151058197,0.9548127888303364,0.9451866790088964
96,0.0001,0.2,21,0.19150781631469727,0.96258201637511,0.94187025704791
108,0.0001,0.5,29,0.25068750977516174,0.737339321022718,0.7433886155775817
118,0.0001,0.8,44,0.18242187798023224,0.9481629416154396,0.9218649339414441
127,0.0002,0.2,28,0.18602344393730164,0.9569119155278323,0.9464114949847303
130,0.0002,0.5,2,0.319273442029953,0.5787910563835283,0.6340574293375358
141,0.0002,0.8,42,0.18110351264476776,0.9572007461569747,0.9480924733195966
152,0.0005,0.2,42,0.1802109330892563,0.9585288274482022,0.9451678963565133
159,0.0005,0.5,20,0.30351951718330383,0.8324446138195856,0.7881861585957708
166,0.0005,0.8,38,0.1823144555091858,0.9597498908307612,0.9391140343128658
174,0.001,0.2,45,0.19312891364097595,0.9281217100839595,0.9012926653206734
180,0.001,0.5,32,0.2694101631641388,0.710937376962296,0.6819373002815816
189,0.001,0.8,45,0.18610155582427979,0.9441964269791492,0.941490572873908
