,Learning Rate,Epoch,Train Loss,Val mIoU,Test mIoU
0,0.0001,0,1.3964687585830688,0.23354643451483184,0.23333988841296757
1,0.0001,1,0.1505102515220642,0.4987530521655561,0.4990182376151511
2,0.0001,2,0.020427430048584938,0.5673938109026138,0.5663876086542055
3,0.0001,3,0.011894073337316513,0.6531971497319659,0.6428911077162829
4,0.0001,4,0.009333481080830097,0.6617269350429527,0.6614898113429151
5,0.0001,5,0.007707573007792234,0.6848054707027776,0.6670028371853578
6,0.0001,7,0.0076204147189855576,0.6917456759992123,0.6873604562139105
7,0.0001,15,0.005310368724167347,0.7450443524280796,0.6925367818390036
8,0.0001,32,0.004097714554518461,0.7482550018277385,0.7310782710968972
9,0.0001,41,0.00395957101136446,0.7548223611138727,0.7332646966924888
10,0.0002,0,1.3289999961853027,0.2426419497263448,0.24265345780631517
11,0.0002,1,0.0891105979681015,0.5091823477591894,0.5099097709074135
12,0.0002,2,0.014534973539412022,0.6522174359557724,0.643235727861696
13,0.0002,3,0.00967689510434866,0.6770913508478027,0.6936241499486162
14,0.0002,4,0.008440252393484116,0.7205352404235401,0.6815241083217916
15,0.0002,13,0.005683443043380976,0.749143870188903,0.7358983649571944
16,0.0002,17,0.004849244840443134,0.7537996332804084,0.7271434298026427
17,0.0002,19,0.004645730834454298,0.7749280964444332,0.7325359794994263
18,0.0005,0,1.2503437995910645,0.2650682420627651,0.264912848342451
19,0.0005,1,0.05060369893908501,0.5700583764811651,0.578377637065901
20,0.0005,2,0.010256385430693626,0.6742856863080668,0.6250445104108664
21,0.0005,5,0.007657173089683056,0.6962290197895171,0.692403268101957
22,0.0005,7,0.005987979006022215,0.7394552577861995,0.7134073412506219
23,0.0005,24,0.004723997320979834,0.742597415062964,0.7040021285984124
24,0.0005,26,0.004314159508794546,0.7715808143085758,0.7403239126417615
25,0.001,0,1.3607499599456787,0.23930387548433843,0.23843232685804772
26,0.001,1,0.04336844012141228,0.6054114344378937,0.5967174966581115
27,0.001,2,0.010571792721748352,0.683830177188405,0.655357352609951
28,0.001,4,0.008260521106421947,0.6858077097384672,0.6587561767215067
29,0.001,5,0.006507015321403742,0.7019445846619495,0.6911712015906317
30,0.001,6,0.0074906256049871445,0.7228755113701886,0.6700544701068067
31,0.001,7,0.0073186494410037994,0.7358936161388583,0.6861678682544621
32,0.001,9,0.0063214777037501335,0.7414931862645907,0.7125379700608817
33,0.001,12,0.006240966729819775,0.7571100385680558,0.6993342790802527
